"ID","P.Value","t","logFC","Gene.symbol","Gene.title","Gene.ID"
"212611_at",5.5e-11,-18.2,-2.35,"DTX4","deltex E3 ubiquitin ligase 4","23220"
"1570289_at",1.02e-10,17.3,3.7,"LOC646736","uncharacterized LOC646736","646736"
"229778_at",1.48e-10,16.9,4.02,"SPX","spexin hormone","80763"
"226213_at",2.14e-10,-16.4,-1.73,"ERBB3","erb-b2 receptor tyrosine kinase 3","2065"
"214735_at",2.16e-10,16.4,3.48,"IPCEF1","interaction protein for cytohesin exchange factors 1","26034"
"206517_at",2.19e-10,16.4,3.93,"CDH16","cadherin 16","1014"
"241898_at",2.78e-10,-16.1,-3.45,"LIPH","lipase H","200879"
"209470_s_at",5.91e-10,15.2,3.05,"GPM6A","glycoprotein M6A","2823"
"207808_s_at",6.19e-10,-15.1,-2.3,"PROS1","protein S (alpha)","5627"
"205221_at",8.49e-10,14.7,2.91,"HGD","homogentisate 1,2-dioxygenase","3081"
"205016_at",1.11e-09,-14.4,-1.75,"TGFA","transforming growth factor alpha","7039"
"235629_at",1.14e-09,-14.4,-3.39,"","",""
"219735_s_at",1.2e-09,14.4,2.95,"TFCP2L1","transcription factor CP2-like 1","29842"
"209469_at",1.86e-09,13.9,2.07,"GPM6A","glycoprotein M6A","2823"
"210194_at",1.96e-09,13.8,2.4,"PLA2R1","phospholipase A2 receptor 1","22925"
"227760_at",2.46e-09,13.6,3.41,"IGFBPL1","insulin like growth factor binding protein like 1","347252"
"239381_at",2.9e-09,-13.4,-4.53,"KLK7","kallikrein related peptidase 7","5650"
"203355_s_at",4.23e-09,-13,-2,"PSD3","pleckstrin and Sec7 domain containing 3","23362"
"203908_at",5.34e-09,12.8,3.06,"SLC4A4","solute carrier family 4 member 4","8671"
"241672_at",5.47e-09,12.7,2.49,"SERTM1","serine rich and transmembrane domain containing 1","400120"
"216944_s_at",5.89e-09,12.7,2.05,"ITPR1","inositol 1,4,5-trisphosphate receptor type 1","3708"
"218826_at",6.07e-09,-12.6,-1.54,"SLC35F2","solute carrier family 35 member F2","54733"
