"ID","P.Value","t","logFC","Gene.symbol","Gene.title","Gene.ID"
"205612_at",1.78e-41,22.1462723,4.20528686,"MMRN1","multimerin 1","22915"
"214044_at",1.56e-34,18.3043158,2.44874024,"RYR2","ryanodine receptor 2","6262"
"242496_at",1.34e-33,17.8184816,1.94392259,"ART4","ADP-ribosyltransferase 4 (Dombrock blood group)","420"
"206517_at",3.19e-33,17.6247441,3.0443374,"CDH16","cadherin 16","1014"
"206498_at",4.19e-33,17.5641964,2.26527444,"OCA2","OCA2 melanosomal transmembrane protein","4948"
"208025_s_at",6.28e-33,-17.4744321,-5.25538058,"HMGA2","high mobility group AT-hook 2","8091"
"212464_s_at",7.44e-33,-17.4366251,-3.23187772,"FN1","fibronectin 1","2335"
"216442_x_at",8.46e-33,-17.4081404,-3.03597599,"FN1","fibronectin 1","2335"
"210495_x_at",9.33e-33,-17.386572,-3.01173104,"FN1","fibronectin 1","2335"
"219643_at",9.87e-33,17.3740634,3.56571699,"LRP1B","LDL receptor related protein 1B","53353"
"211719_x_at",2.64e-32,-17.1568913,-2.97195689,"FN1","fibronectin 1","2335"
"213071_at",1.03e-31,16.8581844,2.77138324,"DPT","dermatopontin","1805"
"209612_s_at",1.03e-31,16.857726,3.53128843,"ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide","125"
"206253_at",1.21e-31,16.8237945,2.37473535,"DLG2","discs large MAGUK scaffold protein 2","1740"
"204623_at",1.47e-31,16.7812798,4.46183025,"TFF3","trefoil factor 3","7033"
"228973_at",2.66e-31,16.6517828,2.07857325,"DLG2","discs large MAGUK scaffold protein 2","1740"
"209613_s_at",2.96e-31,16.6291011,3.84884868,"ADH1B","alcohol dehydrogenase 1B (class I), beta polypeptide","125"
"205923_at",5.84e-31,16.481724,2.47824903,"RELN","reelin","5649"
"210738_s_at",1.18e-30,16.3308901,2.84839513,"SLC4A4","solute carrier family 4 member 4","8671"
"214735_at",1.33e-30,16.3040515,3.40910643,"IPCEF1","interaction protein for cytohesin exchange factors 1","26034"
"212895_s_at",1.6e-30,-16.2644549,-1.34725635,"ABR","active BCR-related","29"
"211343_s_at",1.75e-30,-16.2449391,-2.90105864,"COL13A1","collagen type XIII alpha 1 chain","1305"
"236741_at",3.17e-30,16.1178551,2.50122556,"WDR72","WD repeat domain 72","256764"
"214591_at",3.62e-30,16.0899749,1.35005585,"KLHL4","kelch like family member 4","56062"
"213423_x_at",3.63e-30,-16.0889471,-2.87443967,"TUSC3","tumor suppressor candidate 3","7991"
"235746_s_at",3.69e-30,16.0854412,3.14001983,"PLA2R1","phospholipase A2 receptor 1","22925"
"1555912_at",3.83e-30,16.0777231,1.57237063,"ST7-AS1","ST7 antisense RNA 1","93653"
"219735_s_at",4.05e-30,16.0657532,1.97637852,"TFCP2L1","transcription factor CP2-like 1","29842"
"207415_at",4.14e-30,16.0608167,2.11046326,"PLA2R1","phospholipase A2 receptor 1","22925"
"202528_at",7.94e-30,-15.9222575,-2.08775788,"GALE","UDP-galactose-4-epimerase","2582"
"219059_s_at",8.39e-30,15.9105442,3.05572402,"LYVE1","lymphatic vessel endothelial hyaluronan receptor 1","10894"
"236038_at",1e-29,15.8729521,2.2226589,"RNF150","ring finger protein 150","57484"
"209228_x_at",2.19e-29,-15.7069352,-2.62528918,"TUSC3","tumor suppressor candidate 3","7991"
"205350_at",2.42e-29,15.6861354,3.66921741,"CRABP1","cellular retinoic acid binding protein 1","1381"
"230104_s_at",3.43e-29,15.6120577,2.15590699,"TPPP","tubulin polymerization promoting protein","11076"
"206043_s_at",4.38e-29,15.5603341,2.01458737,"ATP2C2","ATPase secretory pathway Ca2+ transporting 2","9914"
"220037_s_at",4.68e-29,15.5465089,3.21403366,"LYVE1","lymphatic vessel endothelial hyaluronan receptor 1","10894"
"1563874_at",7.13e-29,15.4578107,2.06901529,"WDR72","WD repeat domain 72","256764"
"219049_at",7.72e-29,15.4411004,2.48532418,"CSGALNACT1","chondroitin sulfate N-acetylgalactosaminyltransferase 1","55790"
"209220_at",7.83e-29,15.4381101,1.48493357,"GPC3","glypican 3","2719"
"240039_at",8.39e-29,15.4236348,1.62365813,"PLA2R1","phospholipase A2 receptor 1","22925"
"244675_at",1.1e-28,15.3669881,2.91924162,"RGS8","regulator of G-protein signaling 8","85397"
"240137_at",1.14e-28,15.3588803,2.48163654,"","",""
"229839_at",1.2e-28,15.3483366,2.86670739,"SCARA5","scavenger receptor class A member 5","286133"
"202733_at",1.36e-28,-15.3229031,-1.8358606,"LOC101927705///P4HA2","uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2","101927705///8974"
"205479_s_at",1.65e-28,-15.2817341,-3.5809084,"PLAU","plasminogen activator, urokinase","5328"
"210194_at",2.18e-28,15.2233831,1.72284829,"PLA2R1","phospholipase A2 receptor 1","22925"
"205985_x_at",2.33e-28,15.2094153,1.52705797,"CLCNKB","chloride voltage-gated channel Kb","1188"
"204606_at",2.53e-28,15.192769,3.50563763,"CCL21","C-C motif chemokine ligand 21","6366"
"203684_s_at",2.55e-28,15.190836,1.25621428,"BCL2","BCL2, apoptosis regulator","596"
"207977_s_at",3.22e-28,15.1421361,1.88933964,"DPT","dermatopontin","1805"
"227091_at",3.63e-28,15.1169262,2.05799561,"CCDC146","coiled-coil domain containing 146","57639"
"209470_s_at",4.31e-28,15.0813596,3.63849721,"GPM6A","glycoprotein M6A","2823"
"231358_at",5.38e-28,15.0352415,2.59052536,"MRO","maestro","83876"
"205382_s_at",5.48e-28,15.0314789,2.18801447,"CFD","complement factor D","1675"
"223693_s_at",5.52e-28,15.0297598,0.9096968,"RADIL","Rap associating with DIL domain","55698"
"200660_at",5.9e-28,-15.0160329,-1.32029568,"S100A11","S100 calcium binding protein A11","6282"
"203387_s_at",7.06e-28,14.9788393,1.58492908,"TBC1D4","TBC1 domain family member 4","9882"
"207047_s_at",7.59e-28,14.9638302,1.8545998,"CLCNKB///CLCNKA","chloride voltage-gated channel Kb///chloride voltage-gated channel Ka","1188///1187"
"208609_s_at",9.04e-28,14.9273657,1.19559716,"TNXB///TNXA","tenascin XB///tenascin XA (pseudogene)","7148///7146"
"1559871_s_at",9.7e-28,14.9128572,1.87269642,"LOC100129129","uncharacterized LOC100129129","100129129"
"209360_s_at",1.12e-27,-14.8828368,-2.25805909,"LOC101928269///LOC100506403///RUNX1","uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1","101928269///100506403///861"
"222953_at",1.18e-27,14.8715332,2.39629027,"GPR83","G protein-coupled receptor 83","10888"
"227760_at",1.63e-27,14.8056222,2.94242704,"IGFBPL1","insulin like growth factor binding protein like 1","347252"
"228090_at",1.7e-27,14.7961063,1.27621451,"NMNAT3","nicotinamide nucleotide adenylyltransferase 3","349565"
"209295_at",1.73e-27,-14.7935037,-1.3530062,"TNFRSF10B","TNF receptor superfamily member 10b","8795"
"220133_at",2.1e-27,14.7531704,1.74844222,"ODAM","odontogenic, ameloblast asssociated","54959"
"219945_at",2.16e-27,14.7470489,1.81671296,"DDX25","DEAD-box helicase 25","29118"
"218332_at",2.19e-27,14.7443443,3.46294822,"BEX1","brain expressed X-linked 1","55859"
"232720_at",2.47e-27,14.719624,1.8923413,"LINGO2","leucine rich repeat and Ig domain containing 2","158038"
"219093_at",2.89e-27,14.6872874,1.88542906,"PID1","phosphotyrosine interaction domain containing 1","55022"
"229032_at",3.07e-27,14.6742889,2.57568983,"WSCD2","WSC domain containing 2","9671"
"210739_x_at",3.36e-27,14.6557095,1.54993615,"SLC4A4","solute carrier family 4 member 4","8671"
"202701_at",4e-27,-14.6201464,-0.91378548,"BMP1","bone morphogenetic protein 1","649"
"1554748_at",4.24e-27,14.6080347,2.24164435,"CLCNKB","chloride voltage-gated channel Kb","1188"
"210335_at",4.27e-27,14.6065549,1.57539069,"RASSF9","Ras association domain family member 9","9182"
"225520_at",5.11e-27,-14.5697687,-1.22526012,"LOC101928195///LOC100996643///MTHFD1L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene///monofunctional C1-tetrahydrofolate synthase, mitochondrial-like///methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like","101928195///100996643///25902"
"214798_at",7.74e-27,14.4843165,1.39545816,"ATP2C2","ATPase secretory pathway Ca2+ transporting 2","9914"
"1553559_at",8.35e-27,14.4686164,1.4402778,"TMEM171","transmembrane protein 171","134285"
"224929_at",8.37e-27,-14.4680892,-1.70600755,"TMEM173","transmembrane protein 173","340061"
"241017_at",8.7e-27,14.4602225,1.79768372,"TBC1D8///RPL31","TBC1 domain family member 8///ribosomal protein L31","11138///6160"
"211494_s_at",8.75e-27,14.4590577,2.32209485,"SLC4A4","solute carrier family 4 member 4","8671"
"235210_s_at",9.53e-27,14.4416559,1.61992111,"SBSPON","somatomedin B and thrombospondin type 1 domain containing","157869"
"220114_s_at",1.04e-26,14.4242524,1.2105792,"STAB2","stabilin 2","55576"
"231334_at",1.18e-26,14.3969898,2.11097635,"LOC101929480","uncharacterized LOC101929480","101929480"
"204513_s_at",1.36e-26,14.3691119,2.18691465,"ELMO1","engulfment and cell motility 1","9844"
"206806_at",1.53e-26,14.3451823,2.98471031,"DGKI","diacylglycerol kinase iota","9162"
"216333_x_at",1.61e-26,14.3340694,1.56698366,"TNXB///TNXA","tenascin XB///tenascin XA (pseudogene)","7148///7146"
"229014_at",1.68e-26,-14.3250121,-1.92034761,"NR2F1-AS1","NR2F1 antisense RNA 1","441094"
"1556427_s_at",1.73e-26,14.3198204,1.57798635,"LRRN4CL","LRRN4 C-terminal like","221091"
"226552_at",1.79e-26,-14.3121887,-1.27922178,"IER5L","immediate early response 5 like","389792"
"205076_s_at",1.81e-26,-14.3097625,-1.62641433,"MTMR11","myotubularin related protein 11","10903"
"230762_at",2.39e-26,14.2533661,0.85286307,"","",""
"215324_at",3.69e-26,14.1646673,1.54852744,"SEMA3D","semaphorin 3D","223117"
"211668_s_at",4.81e-26,-14.1110231,-3.53772185,"PLAU","plasminogen activator, urokinase","5328"
"1554749_s_at",5.59e-26,14.0803713,1.14399522,"CLCNKB","chloride voltage-gated channel Kb","1188"
"236383_at",6.3e-26,14.0559039,1.87556478,"","",""
"209469_at",6.46e-26,14.0508279,3.49065438,"GPM6A","glycoprotein M6A","2823"
"219877_at",6.63e-26,14.0454313,2.47459104,"ZMAT4","zinc finger matrin-type 4","79698"
"242269_at",6.74e-26,14.0422896,1.33858031,"LINC00982","long intergenic non-protein coding RNA 982","440556"
"226303_at",7.01e-26,14.0341105,2.10313471,"PGM5","phosphoglucomutase 5","5239"
"242304_at",7.36e-26,14.0242539,0.87220868,"LOC102724112///PYM1","uncharacterized LOC102724112///PYM homolog 1, exon junction complex associated factor","102724112///84305"
"1556034_s_at",7.59e-26,-14.0181666,-0.86242517,"MTMR11","myotubularin related protein 11","10903"
"220203_at",7.88e-26,14.0103503,2.15405134,"BMP8A","bone morphogenetic protein 8a","353500"
"207220_at",9.29e-26,13.9770187,1.13253212,"ART4","ADP-ribosyltransferase 4 (Dombrock blood group)","420"
"1559870_at",1.02e-25,13.9577886,1.02534924,"LOC100129129","uncharacterized LOC100129129","100129129"
"227642_at",1.1e-25,13.9426959,3.0246035,"TFCP2L1","transcription factor CP2-like 1","29842"
"211215_x_at",1.12e-25,13.939547,1.3804846,"DIO2","deiodinase, iodothyronine, type II","1734"
"243729_at",1.28e-25,13.9120218,1.77148473,"","",""
"229024_at",1.35e-25,13.901227,1.91008917,"RNF150","ring finger protein 150","57484"
"230803_s_at",1.47e-25,13.8841432,1.51179471,"ARHGAP24","Rho GTPase activating protein 24","83478"
"209473_at",1.47e-25,-13.8836394,-2.11699493,"ENTPD1","ectonucleoside triphosphate diphosphohydrolase 1","953"
"1555270_a_at",1.49e-25,13.880886,1.37843612,"WFS1","wolframin ER transmembrane glycoprotein","7466"
"1552826_at",1.53e-25,13.8753767,2.18631692,"SLC26A7","solute carrier family 26 member 7","115111"
"209270_at",1.63e-25,-13.8635181,-2.88307304,"LAMB3","laminin subunit beta 3","3914"
"201666_at",1.79e-25,-13.8440112,-2.27088762,"TIMP1","TIMP metallopeptidase inhibitor 1","7076"
"204668_at",1.86e-25,-13.836501,-1.32883405,"RNF24","ring finger protein 24","11237"
"235849_at",1.93e-25,13.8290884,1.77391266,"SCARA5","scavenger receptor class A member 5","286133"
"213679_at",1.93e-25,13.8288518,1.75230305,"TTC30A","tetratricopeptide repeat domain 30A","92104"
"220724_at",2.27e-25,13.7963592,2.75982811,"CWH43","cell wall biogenesis 43 C-terminal homolog","80157"
"220723_s_at",2.32e-25,13.7915119,2.711559,"CWH43","cell wall biogenesis 43 C-terminal homolog","80157"
"219310_at",2.71e-25,13.760035,1.54013111,"SYNDIG1","synapse differentiation inducing 1","79953"
"1552827_s_at",2.79e-25,13.754167,2.12641486,"SLC26A7","solute carrier family 26 member 7","115111"
