"ID","P.Value","t","logFC","Gene.symbol","Gene.title","Gene.ID"
"209228_x_at",5.96e-23,-19.3,-3.69,"TUSC3","tumor suppressor candidate 3","7991"
"214735_at",1.34e-22,18.9,4.87,"IPCEF1","interaction protein for cytohesin exchange factors 1","26034"
"203510_at",3.36e-22,-18.5,-3.1,"MET","MET proto-oncogene, receptor tyrosine kinase","4233"
"209470_s_at",6.49e-22,18.1,3.32,"GPM6A","glycoprotein M6A","2823"
"203256_at",8.22e-22,-18,-4.78,"CDH3","cadherin 3","1001"
"202528_at",1.97e-21,-17.6,-3.48,"GALE","UDP-galactose-4-epimerase","2582"
"210495_x_at",4.11e-21,-17.3,-3.91,"FN1","fibronectin 1","2335"
"216442_x_at",9.37e-21,-16.9,-3.92,"FN1","fibronectin 1","2335"
"202833_s_at",2.2e-20,-16.5,-4.93,"SERPINA1","serpin family A member 1","5265"
"212464_s_at",3.2e-20,-16.4,-3.9,"FN1","fibronectin 1","2335"
"211478_s_at",3.87e-20,-16.3,-4.59,"DPP4","dipeptidyl peptidase 4","1803"
"203716_s_at",7.35e-20,-16,-4.95,"DPP4","dipeptidyl peptidase 4","1803"
"211719_x_at",7.95e-20,-16,-3.81,"FN1","fibronectin 1","2335"
"203717_at",1.06e-19,-15.9,-3.84,"DPP4","dipeptidyl peptidase 4","1803"
"205413_at",1.79e-19,15.6,5.04,"MPPED2","metallophosphoesterase domain containing 2","744"
"213423_x_at",2.55e-19,-15.5,-3.75,"TUSC3","tumor suppressor candidate 3","7991"
"205016_at",3.65e-19,-15.3,-3.83,"TGFA","transforming growth factor alpha","7039"
"211429_s_at",4.52e-19,-15.2,-4.31,"SERPINA1","serpin family A member 1","5265"
"209270_at",5.06e-19,-15.2,-4.46,"LAMB3","laminin subunit beta 3","3914"
"206765_at",5.6e-19,-15.2,-4.37,"KCNJ2","potassium voltage-gated channel subfamily J member 2","3759"
"200701_at",6.45e-19,-15.1,-1.64,"NPC2","NPC intracellular cholesterol transporter 2","10577"
